ID	Tweet	anger	anticipation	disgust	fear	joy	love	optimism	pessimism	sadness	surprise	trust
2017-En-21441	“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry	0	1	0	0	0	0	1	0	0	0	1
2017-En-31535	Whatever you decide to do make sure it makes you #happy.	0	0	0	0	1	1	1	0	0	0	0
2017-En-21068	@Max_Kellerman  it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! #GOPATS	1	0	1	0	1	0	1	0	0	0	0
2017-En-31436	Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton 🐶	0	0	0	0	1	0	1	0	0	0	0
2017-En-22195	My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs	1	0	1	0	0	0	0	0	0	0	0
2017-En-22190	No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu	0	0	0	0	1	0	0	0	0	0	0
2017-En-20221	Do you think humans have the sense for recognizing impending doom? 	0	1	0	0	0	0	0	1	0	0	0
2017-En-22180	Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight	1	0	1	0	0	0	0	0	0	0	0
2017-En-41344	it's pretty depressing when u hit pan on ur favourite highlighter	0	0	1	0	0	0	0	0	1	0	0
2017-En-20759	@BossUpJaee but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .	1	0	1	0	0	0	0	0	0	0	0
2017-En-40158	Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college	0	0	1	0	0	0	0	1	1	0	0
2017-En-21744	And it's hard to dance with a devil on your back\nSo shake him off.	0	0	0	0	0	0	0	0	0	0	0
2017-En-31337	Tiller and breezy should do a collab album. Rapping and singing prolly be fire	0	0	0	0	1	1	0	0	0	0	0
2017-En-10902	S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃	1	0	0	0	0	0	0	0	1	0	0
2017-En-11274	@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin	1	0	1	0	0	0	0	0	0	0	0
2017-En-11097	People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop	1	0	1	0	0	0	0	0	1	0	0
2017-En-11475	@BitchestheCat Look at those teef! #growl	1	0	1	1	0	0	0	0	0	0	0
2017-En-10989	Star trek online has a update to download oh fuming yay	1	0	1	0	1	0	0	0	1	0	0
2017-En-10618	The bitter the battle, the sweeter the victory...	0	0	0	0	1	0	1	0	0	0	0
2017-En-40212	i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.	1	0	1	0	0	0	0	0	1	0	0
2017-En-21011	@NHLexpertpicks @usahockey USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke	1	0	1	0	0	0	0	0	0	0	0
2017-En-20349	#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @UN headquarters demanding Pak to stop exporting #terror into India	0	0	0	1	0	0	0	0	1	0	0
2017-En-40483	Awareness of time is awareness of time lost. #awareness #time 	0	0	0	0	1	1	1	0	0	0	0
2017-En-30807	Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today.	1	0	1	0	0	0	0	0	0	0	0
2017-En-21400	@zorefx you guys will see what i did in the next video but its fucking horrid	1	0	1	1	0	0	0	0	1	0	0
2017-En-11184	What a fucking muppet.  @jRwild1  #stalker.	1	0	1	0	0	0	0	0	0	0	0
2017-En-30230	@adamrodricks I like your optimism!	0	0	0	0	1	0	1	0	0	0	0
2017-En-11421	My cat is bloody lucky the RSPCA weren't open at 3am last night!!! #fuming 😡🐱	1	0	1	0	1	0	0	0	0	0	0
2017-En-21740	@FaithHill I remember it well #happy #afraid #Positive	0	0	0	1	1	1	1	0	0	0	0
2017-En-10966	Autocorrect changes ''em' to 'me' which I resent greatly	1	0	1	0	0	0	0	0	0	0	0
2017-En-10503	I mean I'm not done watching the pilot, but it's nice to see a group of actors perform without story lines dripping relentless nihilism.	1	0	1	0	1	0	1	0	0	0	0
2017-En-21716	@WaterboysAS I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity.	1	0	1	1	0	0	0	0	0	0	0
2017-En-20316	@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. 	0	0	0	1	1	0	0	0	1	0	0
2017-En-10936	@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle	1	0	1	0	0	0	0	0	1	0	0
2017-En-30541	You have to find a way to top yourself. #glee	0	0	0	0	1	1	1	0	0	0	0
2017-En-20393	@Aliki111 Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable.	1	0	1	0	0	0	0	0	0	0	0
2017-En-30296	#smile every morning to a positive head start with your #clients relations	0	0	0	0	1	0	1	0	0	0	0
2017-En-20473	I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him.	0	0	0	0	0	0	1	0	0	0	0
2017-En-10565	@SlaveGuinevere its more of a little prick than a sting .......... but you have to come to Tennessee to get it1	0	0	0	0	0	0	0	0	0	0	0
2017-En-21752	@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.	0	0	1	1	0	0	1	0	0	0	1
2017-En-11251	All the young people are so bitter about how the older contestants probably know how to make Bakewell Tarts 😂 #GBBO	1	0	1	0	1	0	0	0	1	0	0
2017-En-40949	Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-)	0	0	0	0	0	0	1	0	1	0	0
2017-En-20092	In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news	0	0	0	1	0	0	0	0	0	0	0
2017-En-21374	@TamraBarney @ShannonBeador @RHOC_KellyDodd Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully	1	0	1	0	0	0	0	0	0	0	0
2017-En-21886	He accusd India of HR violations in Kashmir BUT refusd to name India's role in fomenting terror in Pakistan through TTP, BLA &amp; MQM.shame #ZH	1	0	1	0	0	0	0	0	1	1	0
2017-En-21219	About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography 	0	1	0	0	1	0	1	0	0	0	0
2017-En-30081	@morgannbroom yes ❤️❤️ &amp; cheering homecoming game!	0	0	0	0	1	1	1	0	0	0	0
2017-En-20533	I was so shy freshman year this guy introduced himself to me by asking if I spoke any English	0	1	0	0	1	0	0	0	1	0	0
2017-En-41251	Love is when all your happiness and all your sadness and all your feelings are dependent on another person.	0	0	0	0	0	1	1	0	0	0	1
2017-En-40646	@wabermes The @RavalliRepublic had a good one but then the reporter quit. 	0	0	0	0	0	0	0	0	0	0	0
2017-En-20764	@BigLepley @angela31694996 @TheIndigoArrow Want to start a biker gang together when the GTA Online Biker DLC comes out?	0	1	0	0	1	0	1	0	0	0	0
2017-En-11506	@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!	1	0	1	0	1	0	0	0	0	1	0
2017-En-41397	It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.	0	0	0	0	0	0	0	0	1	0	0
2017-En-41073	Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems	0	0	0	0	0	0	1	1	1	0	0
2017-En-10559	im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway	1	0	1	0	0	0	0	0	0	0	0
2017-En-20648	@mas_critical The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against.	1	0	1	0	0	0	0	0	0	0	0
2017-En-21927	@loismackey_ @Dory nah way that's horrible	1	0	1	0	0	0	0	0	0	0	0
2017-En-20218	@MaryamNSharif I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist !	1	0	1	1	0	0	0	0	0	0	0
2017-En-30952	angel delight is my everything	0	0	0	0	1	1	0	0	0	0	0
2017-En-10474	Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG	1	1	0	0	0	0	0	0	0	0	0
2017-En-20413	In dire need of a worship session to just let go of everything	0	1	0	1	0	0	1	0	1	0	0
2017-En-40195	Brb going to sulk in bed until Friday	1	0	1	0	1	0	0	1	1	0	0
2017-En-10649	I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.	0	1	0	0	1	0	0	0	0	0	0
2017-En-41456	This is the first time I've been sober on my birthday in 6 years. #recovery #sobriety #sober #soberissexy #sobernative	0	0	0	0	1	0	1	0	0	0	0
2017-En-11034	Weak people revenge. Strong people forgive. Intelligent people ignore.	1	0	0	0	0	0	1	0	0	0	0
2017-En-10396	I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage	1	0	0	0	0	0	0	0	0	0	0
2017-En-40760	I'm so proud he understands this, he shows love, thought and compassion    and it's not done in a clouded way..	0	0	0	0	1	0	1	0	0	0	0
2017-En-30218	Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK	0	0	0	0	1	1	0	0	0	0	0
2017-En-21649	@Bridget_Delia @originalaubs omg that's terrible	1	0	1	1	0	0	0	0	1	0	0
2017-En-10742	All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein	0	0	0	0	0	1	0	0	0	0	0
2017-En-21926	tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared...	0	1	0	1	0	0	0	0	0	0	0
2017-En-21045	Jorge deserves it, honestly. He's weak.  #90dayfiance	1	0	1	0	0	0	0	0	0	0	0
2017-En-30985	Modern family never fails to cheer me up. Especially Phil.	0	0	0	0	1	1	1	0	0	0	0
2017-En-31561	Sometimes I get to sit back and be proud of myself for pleasing Him so well.	0	0	0	0	1	1	1	0	0	0	0
