ID	Tweet	Affect Dimension	Intensity Class
2017-En-20968	@RockSolidShow @Pat_Francis #revolting cocks if you think I'm sexy!	fear	0: no fear can be inferred
2017-En-21816	@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me 😨😨😨 #excited #afraid	fear	1: low amount of fear can be inferred
2017-En-21532	“What worries you masters you.” - Haddon Robinson @ChoGMinistries #Jesusisthesubject #worry #anxiety #anxious	fear	1: low amount of fear can be inferred
2017-En-20740	@carlybigelow13 first you take the room now you wanna beat me up 	fear	0: no fear can be inferred
2017-En-20022	@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous	fear	3: high amount of fear can be inferred
2017-En-20682	@MidgetTamer @RAIDERS @52Mack_ Make him be a bully. Sit him in a room by himself and let him look at Debo all day.	fear	0: no fear can be inferred
2017-En-20488	3years today marks the anniversary of that horrid Westgate Attack in Nairobi. My heart out to all those of us who lost our family &amp; friends🕯	fear	0: no fear can be inferred
2017-En-20937	@WunderlistHelp are you guys still down? When can we go up? 	fear	0: no fear can be inferred
2017-En-21760	@City_tv  is like the big bully in class ruining everyone's lunch but instead of taking our lunch money they took away family feud #bully	fear	1: low amount of fear can be inferred
2017-En-20880	@Jchawes What is your favorite #horror movie? #ghosthunters	fear	0: no fear can be inferred
2017-En-21567	Not sure if thats an accomplishment or something to worry about	fear	0: no fear can be inferred
2017-En-22135	@CharlieEblacker hate being shy 😩	fear	1: low amount of fear can be inferred
2017-En-21523	#smackdev #ptp #start oh yeah!	fear	0: no fear can be inferred
2017-En-21433	@Varneyco @SheriffClarke I agree. Rioters destroy property, injure citizens, and threaten lives. We need a zero tolerance policy on riots.	fear	2: moderate amount of fear can be inferred
2017-En-20824	@DeionSandersJr @DeionSanders so bad...Slash prices or send them to refugee camps, like team gear after they lose championships. 	fear	0: no fear can be inferred
2017-En-22248	I'm shaking now.	fear	3: high amount of fear can be inferred
2017-En-21941	And they cover these police shootings fairly well they dont want to miss a chance to bully you	fear	2: moderate amount of fear can be inferred
2017-En-20976	“ Less sugar, more fruit.\n Less soda, more water.\n Less worry, more sleep.\n LESS WORDS, MORE ACTION.”	fear	0: no fear can be inferred
2017-En-21967	@Jpennifan OH sorry for your divorce but don't worry I will be a good wife then (no reference)	fear	0: no fear can be inferred
2017-En-20544	That old lady is cray cray #scared #BellaIsSoCute  #Empire	fear	0: no fear can be inferred
2017-En-21731	Editing a father of the bride speech. At 3 minutes in she tells him to wrap it up. He goes on for 12 more minutes. 	fear	0: no fear can be inferred
2017-En-20112	@YahooCare data stolen in 2014 and only now do you tell us .	fear	2: moderate amount of fear can be inferred
2017-En-21217	@RyanAbe awe yay thank god I was so worried.	fear	0: no fear can be inferred
2017-En-20136	This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. 	fear	2: moderate amount of fear can be inferred
2017-En-21182	@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?	fear	2: moderate amount of fear can be inferred
2017-En-20547	Late night #thoughts. Feeling .	fear	0: no fear can be inferred
2017-En-21320	The terror threat level really need to be raised	fear	3: high amount of fear can be inferred
2017-En-20718	You have a #problem? Yes! Can you do #something about it? No! Than why 	fear	0: no fear can be inferred
2017-En-20746	@davidpreece12 @FitbaHacks Great defender, terrible positioning. Didn't know where he should be without Russel shouting at him for 90 mins	fear	0: no fear can be inferred
2017-En-20013	#panic Panic attack from fear of starting new medication	fear	3: high amount of fear can be inferred
2017-En-21205	@stephenfhayes Mustard gas = hostile work environment, not #terrorism; call #OSHA not #military	fear	2: moderate amount of fear can be inferred
2017-En-20619	An @amityaffliction kind of drive home from work today  #dailyfeels	fear	0: no fear can be inferred
2017-En-21953	♪OLD FISH 	fear	0: no fear can be inferred
2017-En-20812	Rojo is a terrible defender	fear	0: no fear can be inferred
2017-En-20099	Being forced into a fake hug by someone who didn’t flinch to get litigious with you in the past - #awful 😖👺🙅	fear	2: moderate amount of fear can be inferred
2017-En-21148	This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.	fear	0: no fear can be inferred
2017-En-20548	@hotpatooties more like quickie divorce #awful	fear	0: no fear can be inferred
2017-En-21773	Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney	fear	1: low amount of fear can be inferred
