ID	Tweet	Affect Dimension	Intensity Class
2017-En-30793	@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.	joy	0: no joy can be inferred
2017-En-30070	2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! 	joy	3: high amount of joy can be inferred
2017-En-30692	Positive #psychology research shows salespeople who score in the top 10% for #optimism have 88% &gt; sales than those in top 10% for pessimism.	joy	0: no joy can be inferred
2017-En-31323	As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.	joy	1: low amount of joy can be inferred
2017-En-31553	Howling with laughter at “WELL DONE BEZZA!” #bakeoff #GBBO	joy	3: high amount of joy can be inferred
2017-En-31296	@StephaliciousD afternoon delight	joy	2: moderate amount of joy can be inferred
2017-En-30419	@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in	joy	1: low amount of joy can be inferred
2017-En-31315	As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.	joy	1: low amount of joy can be inferred
2017-En-30871	@hesham786 that's the spirit #optimism	joy	0: no joy can be inferred
2017-En-31529	@simmy_hanley @Schrise also a 	joy	0: no joy can be inferred
2017-En-31555	@scottlocker220 Thank you for that, the notification came in the nick of time to cheer me up - have to re-tweet	joy	3: high amount of joy can be inferred
2017-En-30631	@blackeyed_susie They ain't going away, and I don't want to see them hurt; changing hearts/minds is really our only option, no? #optimism	joy	0: no joy can be inferred
2017-En-31599	when u havent learned to swim 🤔 but you keep working out so you're denser and less buoyant 😞 but swimming is scary 🤔 but also u cant swim 😞	joy	0: no joy can be inferred
2017-En-31258	Evening all. Don't forget it's #RobinHoodHour TONIGHT 🏹\n\n#bizitalk #bizhour #southyorkshire #MansfieldHour #chirp #sheffieldHour #NottsHour	joy	1: low amount of joy can be inferred
2017-En-31188	Close to the end of a revision...taking this story I love in a new direction has been exhilarating for me. #endlesspossibilities #amwriting	joy	2: moderate amount of joy can be inferred
2017-En-30706	mirana told me to shut up when i was singing along to glee...	joy	0: no joy can be inferred
2017-En-31108	#happiness #recipe: an open mind, #laughter, a kind #heart &amp; 	joy	2: moderate amount of joy can be inferred
2017-En-31380	🔥💁🏼- its lit having a class with you!!! Your such a great person and good at cheer!!	joy	3: high amount of joy can be inferred
2017-En-30353	Watch this amazing live.ly broadcast by @jaredhorgan  #musically	joy	1: low amount of joy can be inferred
2017-En-30063	@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now.	joy	3: high amount of joy can be inferred
2017-En-31187	Function in regard to camshaft exhilaration companies: CQHshJSI	joy	0: no joy can be inferred
2017-En-30580	@AllredMD @KerryCallen @thismanthispete Kirby's Black Panther in a cool animated panel.	joy	0: no joy can be inferred
2017-En-30227	Just popped a half bottle of 2014 @Bellawines #sparkling #gamaynoir from Westbank. Evenin', folks! \n#bcwinechat	joy	2: moderate amount of joy can be inferred
2017-En-30095	@Myahrissavietta I'm cheery now 😘😉	joy	3: high amount of joy can be inferred
2017-En-30723	@mark_slifer actually maybe we were supposed to die and my donation saved our lives?? 	joy	0: no joy can be inferred
2017-En-31277	I WANNA GET UP AND DANCE!!!! (but everyone is in bed) this sucks! Everyone wake up!! 😯 #hyper  #letsdance #dirtydancinginthemoonlight👌	joy	3: high amount of joy can be inferred
2017-En-30752	@CazuaL_WeaR @ScottInSC looks like a book shaped like a gun to me  #itsagunalright	joy	0: no joy can be inferred
2017-En-31207	@alicereidy more of a hearty Italian man myself	joy	2: moderate amount of joy can be inferred
2017-En-30965	The little sniffle at the end of the song gets me every time. 	joy	0: no joy can be inferred
2017-En-31403	it's not the most comforting &amp; jubilant place to be, but I do find joy in doing what's best for me and being passionate abt company I keep.	joy	1: low amount of joy can be inferred
2017-En-31228	@LBC_Charlotte just watched you on the great wall #hilarious 😆	joy	3: high amount of joy can be inferred
2017-En-31498	@ErinAndrews I ❤️you on DWTS You make my night every show! 😘 #hilarious	joy	3: high amount of joy can be inferred
2017-En-30279	Watch this amazing live.ly broadcast by @maisiev  #musically	joy	2: moderate amount of joy can be inferred
2017-En-30827	I love my family so much #lucky #grateful #smartassfamily  #love	joy	3: high amount of joy can be inferred
2017-En-30991	@ditzkoff @jpodhoretz There’s not a metaphor in the world that will get at the hilarity of jpod pronouncing on humor.	joy	2: moderate amount of joy can be inferred
2017-En-31272	@MaureenKamash that's a good question. I really don't know. I am slowly losing my optimism	joy	0: no joy can be inferred
2017-En-31535	Whatever you decide to do make sure it makes you #happy.	joy	2: moderate amount of joy can be inferred
2017-En-30781	Inquiries into alleged abuses by UK troops in Afghanistan and Iraq and data suggesting a buoyant post-Brexit economy makes the front pages.	joy	0: no joy can be inferred
2017-En-30069	May your day be filled with #peace#love n #laughter .Have a very nice day full of #Success #Jummah Mubarak😇 , good morning☕ @WaseemBadami	joy	3: high amount of joy can be inferred
2017-En-30621	Pinterest one dessert... Next thing you know your pinning how to make 27 different visually pleasing mouth watering never gonna make sweets.	joy	0: no joy can be inferred
2017-En-31398	in love with @BarberCeleste  insta!!!... #hilarious	joy	3: high amount of joy can be inferred
2017-En-30030	Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed #rejoice	joy	3: high amount of joy can be inferred
2017-En-31141	Pakis are applauding Sharif's speech,i wonder how many really understood what he said!!!!\nThey are very much excited and happy	joy	1: low amount of joy can be inferred
2017-En-30446	@FullTimeDEVILS Memphis looking bright. Rojo looking like Rojo.	joy	1: low amount of joy can be inferred
2017-En-30120	@clonmacart I'm beaming with glee.	joy	3: high amount of joy can be inferred
2017-En-30443	When something makes you excited, terrified, thrilled, nervous, elated &amp; like you've been kicked in the guts all at once. Need word for that	joy	1: low amount of joy can be inferred
2017-En-31449	Crossfit houston-la homefolks as for spry proprieties regimes: AJaFUE	joy	0: no joy can be inferred
2017-En-30589	@elena_yip My random guesses for you! A potential Amelie, Kenneth of 30 Rock (but YA instead of TV) &amp; maybe w/ the optimism of Lara Jean?	joy	0: no joy can be inferred
2017-En-30104	Aw there's a young fox outside on the grass just jumping around all playful and having a little stretch 🙈 soo cute 🐺	joy	3: high amount of joy can be inferred
2017-En-30863	@HunterDean_ [he gives a gleeful squeak and wraps around you] All mine!	joy	3: high amount of joy can be inferred
2017-En-31215	Happiness is a choice life isn't about pleasing everybody #ALDUB62ndWeeksary	joy	1: low amount of joy can be inferred
2017-En-30275	I want the smoky clouds of laughter to swim about you forever more..	joy	2: moderate amount of joy can be inferred
2017-En-31206	It's better to be wetter than it is to be dry'- Thanks for the tip Val. First #GBBO hearty guffaw of the week	joy	2: moderate amount of joy can be inferred
2017-En-30715	it's so breezy out today, i can't go to back to school night with bare legs like i've had all day	joy	0: no joy can be inferred
2017-En-31255	@OccasionalGod isn't that the reason horror is popular? the exhilaration that comes from discomfort is enjoyable -- watch The Green Room :D	joy	1: low amount of joy can be inferred
2017-En-30786	Life izn't about pleasing each others...😕\n\n#hell #with #pleasing	joy	0: no joy can be inferred
2017-En-31372	#Taurus females are beautiful, sparkling jewels glowing in the moonlight.	joy	2: moderate amount of joy can be inferred
2017-En-31407	No doubt.... #smiling ...the best #medicine 😊😊😊	joy	3: high amount of joy can be inferred
2017-En-31242	@jay_roseee but that new breezy &amp; tiller 🔥🔥🔥🔥🔥	joy	1: low amount of joy can be inferred
2017-En-30565	@SoCalValerie this one was Apples attempt to make muslims happy 🕋	joy	0: no joy can be inferred
