ID	Tweet	Affect Dimension	Intensity Class
2017-En-40023	This the most depressing shit ever	sadness	3: high amount of sadness can be inferred
2017-En-40983	final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob	sadness	0: no sadness can be inferred
2017-En-20751	@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace	sadness	1: low amount of sadness can be inferred
2017-En-41232	feel really sad and down today😒	sadness	3: high amount of sadness can be inferred
2017-En-40797	Wow just watched Me Before You and it was seriously one of the most depressing movies of my life	sadness	2: moderate amount of sadness can be inferred
2017-En-40224	Way too cool to die young, way too young to die sober.. #tunechi	sadness	2: moderate amount of sadness can be inferred
2017-En-41500	Happy Birthday Roy Buchanan, born on this day in 1939. #roybuchanan #guitar #blues #happybrithday	sadness	0: no sadness can be inferred
2017-En-41478	Ibiza blues hitting me hard already wow	sadness	3: high amount of sadness can be inferred
2017-En-40483	Awareness of time is awareness of time lost. #awareness #time 	sadness	0: no sadness can be inferred
2017-En-40529	No episode today! Whilst editing there was a power outage! We will rebuild...tomorrow #podcast #lost #editing #fail #tomorrow	sadness	0: no sadness can be inferred
2017-En-40540	@RossKemp great programme tonight  #upsetting #extremeworld	sadness	0: no sadness can be inferred
2017-En-40988	Most days, I don't know what my heart beats for. #depression	sadness	3: high amount of sadness can be inferred
2017-En-40405	Bare videos online but does anyone get rehabilitated? Does anyone actually get help for their affliction? Or do we jut get twitter videos.	sadness	1: low amount of sadness can be inferred
2017-En-40960	You can tell the camp isn't happy purely through Bojan and Muni.\n\nBoth normally fab guys, yet completely dejected. Something isn't right..	sadness	2: moderate amount of sadness can be inferred
2017-En-40671	Bill Clinton: 'Do not grow weary of doing good.' @ClintonGlobal #CGI2016	sadness	0: no sadness can be inferred
2017-En-40445	@BBCSport too dull for the UK.	sadness	1: low amount of sadness can be inferred
2017-En-40633	#sober life	sadness	0: no sadness can be inferred
2017-En-40168	I haven't watched my favorite youtubers in months and it's honestly made my depression so much worse	sadness	2: moderate amount of sadness can be inferred
2017-En-40970	@Mets @JdeGrom19 I'm depress now	sadness	3: high amount of sadness can be inferred
2017-En-20568	When the sadness leaves you broken in your bed, I will hold you in the depths of your despair, and it's all in the name of love 🎶	sadness	2: moderate amount of sadness can be inferred
2017-En-40913	John and his 'magic box' #lost	sadness	0: no sadness can be inferred
2017-En-40682	it didn't impress me but it didn't depress me'	sadness	0: no sadness can be inferred
2017-En-40703	@petercoffin So safe blues are ok. Are reds ok as well? Obviously, battleground states would not.	sadness	0: no sadness can be inferred
2017-En-41383	So grim being up at 6	sadness	3: high amount of sadness can be inferred
2017-En-40083	@KingJames @chrisbosh\n To good hearts I lost my job I'm Responsible 2 families My Information in profile even dollar if can’t just Re-tweet	sadness	3: high amount of sadness can be inferred
2017-En-40453	Cheap pout my brodcast	sadness	1: low amount of sadness can be inferred
2017-En-40614	I wanna see you smile I don't wanna see you make a frown	sadness	0: no sadness can be inferred
2017-En-40190	Liam is too distant makes me mourn 😪	sadness	2: moderate amount of sadness can be inferred
2017-En-41087	Being at the airport is so depressing.. watching all the loved up couples and cute people coming off holiday,too cute..hurry up November ✈️	sadness	2: moderate amount of sadness can be inferred
2017-En-40245	@NewYorker @donlemon Trump presidency-a dark age for the USA and the world. He would most definitely take us to war. Short &amp; Long term pain	sadness	2: moderate amount of sadness can be inferred
2017-En-40169	@midnight #EndTrumpweek please, it's #depressing me.	sadness	2: moderate amount of sadness can be inferred
2017-En-41337	SRV's 'Voodoo Child' is approximately 76 times better than Jimi's. #guitar #music #blues	sadness	0: no sadness can be inferred
2017-En-41139	my bls depress the blake	sadness	2: moderate amount of sadness can be inferred
2017-En-40167	I'm honestly upset that they rewarded Nicole 500k. #depressing #paulwasrobbed #rewardhardwork #bitterjury #bb18	sadness	2: moderate amount of sadness can be inferred
2017-En-40818	If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @KygoMusic's concerts in LA. #serious	sadness	0: no sadness can be inferred
2017-En-41372	I can't even celebrate my wins or mourn my L's cause first test week is that busy 😕	sadness	3: high amount of sadness can be inferred
2017-En-40354	@chelseafc let them know it's the #blues	sadness	1: low amount of sadness can be inferred
2017-En-40715	Mmmm #coffee and a good #book on a dreary day! Who can beat that?	sadness	0: no sadness can be inferred
2017-En-41125	@andrewmcmeme nah, I asked really insightful teacherly questions so he could write a kickass report of his own. He will, sadly, never know	sadness	1: low amount of sadness can be inferred
2017-En-21333	Romero is fucking dreadful like seriously my 11 month old is better than him.	sadness	2: moderate amount of sadness can be inferred
2017-En-41037	“My friend do you fly away now? To a world that abhors you and I? All that awaits you is a somber morrow No matter where the winds may blow”	sadness	2: moderate amount of sadness can be inferred
2017-En-41177	@tysonwaters and @WatersWife 'Being over it.' Why USA has #panicattacks #anxiety #depression and so much medication!	sadness	3: high amount of sadness can be inferred
2017-En-41348	🍂🎵☀\n#fall sounds great !\ndream #blues #rock by @RaphaelSlagg.\nGet the top album  'One Love'  by hero @BlindFret. :D	sadness	0: no sadness can be inferred
2017-En-40252	Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing . #lost #needhelp	sadness	2: moderate amount of sadness can be inferred
2017-En-40337	How could such a crooked,stuck up,delusional,dim&amp; #dark hearted dud be surprised losing&amp;prob also ppl won't let their crimes drop! #nwo imo	sadness	2: moderate amount of sadness can be inferred
2017-En-40608	Somehow 90% of the sausage in this pasta I made sunk to the bottom so I'm eating sausage with a tiny bit of leftover pasta	sadness	0: no sadness can be inferred
2017-En-40387	@Nataliem55 sadly, war has often been the factor that jump starts US economic growth	sadness	1: low amount of sadness can be inferred
2017-En-41303	Thanks to all the #sober drivers. The real winners of the night! #ClemvsGT	sadness	0: no sadness can be inferred
2017-En-41278	Interesting topic this evening...  sadness &amp; low mood. #MHChat	sadness	3: high amount of sadness can be inferred
2017-En-41143	@MHChat if we don't understand how to express our emotions to others, may lead to sadness / loneliness &amp; neg impact on long term mh #MHChat	sadness	2: moderate amount of sadness can be inferred
2017-En-40827	A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat	sadness	2: moderate amount of sadness can be inferred
2017-En-41461	.@WotzupCapeTown - thanks for sharing! Surprise guests! @HumanJurgen &amp; visiting US Tenor Sax @CunninghamColin. #livemusic #capetown #blues	sadness	0: no sadness can be inferred
2017-En-40978	@LdhranOusby @RobHarris inclined to think that 'documentary' did him more harm than good. If not I despair of people's critical faculties.	sadness	2: moderate amount of sadness can be inferred
2017-En-40431	You don't know how to love me when you're sober #sober #selenagomez #revival	sadness	1: low amount of sadness can be inferred
2017-En-40270	One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness	sadness	2: moderate amount of sadness can be inferred
2017-En-41243	Fun tidbit: You can fall asleep on someone while dancing. #blues #latenight	sadness	0: no sadness can be inferred
2017-En-40725	#RiceFODays now I am Alex Butler's class on financial management. Starts off with a great, relevant class discussion: movies and sunk costs	sadness	0: no sadness can be inferred
2017-En-40212	i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.	sadness	2: moderate amount of sadness can be inferred
2017-En-40570	@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since.  #Autumn	sadness	0: no sadness can be inferred
2017-En-41328	@nickb88 @Buster_ESPN pine rider	sadness	0: no sadness can be inferred
2017-En-40771	Please bear with me, I'm not Twitter savvy😝 in real life I'm a Facebook person. Help me gain followers 🤓 #blog #selfhelp 	sadness	0: no sadness can be inferred
2017-En-40748	@VaunWilmott @PrisonBreak @PBWritersRoom linc the sink	sadness	0: no sadness can be inferred
2017-En-41323	Honestly don't know why I'm so unhappy most of the time. I just want it all to stop :(   #itnevergoes	sadness	3: high amount of sadness can be inferred
2017-En-41439	nooooo. Poor Blue Bell! not again. #sad	sadness	3: high amount of sadness can be inferred
2017-En-41070	The @Orioles are in contention and hosting @RedSox nation and Camden is empty #sad	sadness	2: moderate amount of sadness can be inferred
2017-En-41526	I was not made for this world. #empath #unhappy	sadness	3: high amount of sadness can be inferred
2017-En-40345	Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing .  #needhelp	sadness	1: low amount of sadness can be inferred
2017-En-40361	When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology  #TMS #ECT	sadness	1: low amount of sadness can be inferred
2017-En-41391	@Micky_A_Lawson Paddy McNair is our joint top scorer......yeah.....justlet that sink in haha	sadness	0: no sadness can be inferred
2017-En-40528	@VosachResrus ^'ll just #wobble carry you #sink	sadness	0: no sadness can be inferred
2017-En-40026	What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing	sadness	3: high amount of sadness can be inferred
2017-En-40524	“The immense importance of football is sometimes scary. When you don’t win you are responsible for so many unhappy people.” - Arsene Wenger	sadness	0: no sadness can be inferred
2017-En-22136	Right i may be an #sufc fan and the football maybe shit but marcos rojo for #mufc has had a shocking start he's just dreadful	sadness	2: moderate amount of sadness can be inferred
2017-En-41511	@CrystiCaro yeah agree - I think it was a family member and they covered up 	sadness	0: no sadness can be inferred
2017-En-40210	@rupindxr my heart actually sunk looooool I was so confused	sadness	2: moderate amount of sadness can be inferred
2017-En-41407	Very depressing seeing my whole fam packing to go on holiday tomorrow and I'm just staying here 🙃	sadness	3: high amount of sadness can be inferred
2017-En-41524	@pottermore : I can't find my patronus, the website doesn't work, I can't even see the questions.... #sadness...	sadness	3: high amount of sadness can be inferred
2017-En-41479	Hey man are you asian?!' Nah man im hispan...'nah you just high as hell.' Some random crackhead in the wal-mart parking lot...cmon #sober	sadness	0: no sadness can be inferred
2017-En-40277	@JlKelly1 @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;)	sadness	2: moderate amount of sadness can be inferred
2017-En-40803	@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy	sadness	0: no sadness can be inferred
2017-En-40623	@Vixen85Webster yep &amp; I stayed in pjs all day too lol x	sadness	0: no sadness can be inferred
2017-En-40331	@simslover163 I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them...	sadness	2: moderate amount of sadness can be inferred
2017-En-41457	Have any of you ever stayed in hostels overseas? My only frame of reference is the movie Hostel, and we all know how that went.	sadness	0: no sadness can be inferred
