ID	Tweet	Affect Dimension	Intensity Class
2017-En-30153	@liamch88 yeah! :) playing well 	valence	0: neutral or mixed emotional state can be inferred
2017-En-40929	At least I don't have a guy trying to discourage me anymore in what I want to do he will never become anything worth contributing to society	valence	0: neutral or mixed emotional state can be inferred
2017-En-22012	UPLIFT: If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source. Look to the LORD!	valence	0: neutral or mixed emotional state can be inferred
2017-En-30837	...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare	valence	0: neutral or mixed emotional state can be inferred
2017-En-30838	i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩	valence	-2: moderately negative emotional state can be inferred
2017-En-41019	Really planned on making videos this week. Then. A tv died, phone broke, truck died, #depression took over. I'm wondering what I did 2 karma	valence	-3: very negative emotional state can be inferred
2017-En-20210	I hate having ideas but being too afraid to share them 😔	valence	-3: very negative emotional state can be inferred
2017-En-30568	At the regular cheerfulness of any emotion, her own supper, and to give the ladies were soon as they have been entirely at	valence	1: slightly positive emotional state can be inferred
2017-En-41186	A pessimist sees the difficulty in every opportunity, an optimist sees the opportunity in every difficulty' -Sir Winston Churchill-	valence	1: slightly positive emotional state can be inferred
2017-En-41215	Just because I'm hurting \nDoesn't mean I'm hurt \nDoesn't mean I didn't get \nWhat I deserved \nNo better and no worse #lost  @coldplay	valence	-2: moderately negative emotional state can be inferred
2017-En-10358	@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO #bitter	valence	-2: moderately negative emotional state can be inferred
2017-En-30926	For what a beautiful day. 	valence	1: slightly positive emotional state can be inferred
2017-En-31186	We have been a better second half team this season. So there's that. 	valence	0: neutral or mixed emotional state can be inferred
2017-En-40689	Back to forest drama -\nfrom my #Forest #music - series, 2016\n#nature #dark #art #photography #Finland	valence	0: neutral or mixed emotional state can be inferred
2017-En-41406	@rclemmons much #sadness and #heartbreak	valence	-3: very negative emotional state can be inferred
2017-En-21080	I have learned over the years that when one's mind is made up, this diminishes fear. –Rosa Parks #quotes #motivation	valence	0: neutral or mixed emotional state can be inferred
2017-En-20939	Walk right through them! See way past them, and don't even hesitate running them over.	valence	0: neutral or mixed emotional state can be inferred
2017-En-31477	@crazace76 it looks cool and animated well for pixel art !	valence	2: moderately positive emotional state can be inferred
2017-En-40928	Over 70% of social sharing is dark &amp; over 50% of web traffic comes from #darksocial. @colinzalewski #LIFTSocial	valence	1: slightly positive emotional state can be inferred
2017-En-31349	CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th…	valence	2: moderately positive emotional state can be inferred
2017-En-30077	now that I have my future planned out, I feel so much happier #goals #life  #igotthis #yay	valence	3: very positive emotional state can be inferred
2017-En-30614	#hate going to the doctor on so many levels but least I can go sleep with a #smile just watched #Dwight on live nation	valence	1: slightly positive emotional state can be inferred
2017-En-41038	Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815	valence	0: neutral or mixed emotional state can be inferred
2017-En-41396	People too weak to follow their own dreams will always find a way to discourage yours.	valence	-2: moderately negative emotional state can be inferred
2017-En-41145	@bldmovs sadly beautiful photo.	valence	-2: moderately negative emotional state can be inferred
2017-En-20726	@SueWallace78 peanut butter???? You some kinda pervert?? 	valence	-2: moderately negative emotional state can be inferred
2017-En-10462	My baskets are better when I'm in a bad mood someone irritate me before practice please	valence	-2: moderately negative emotional state can be inferred
2017-En-30210	Remember: The life you have is a blessing for #God. Make it a joyful experience regardless of the odds. GBY	valence	1: slightly positive emotional state can be inferred
2017-En-10133	@ChurdAllan fucked my coupon that goal! 	valence	-1: slightly negative emotional state can be inferred
2017-En-41412	It's always depressing to sort WordPress plugin recommendations not by 'best' but by 'least offensive in terms of premium features.'	valence	-3: very negative emotional state can be inferred
2017-En-31023	@GreatDismal @Bencjacobs and it’s gleeful because they’re so inspired, so convinced they’re winning and at last have their strongman	valence	0: neutral or mixed emotional state can be inferred
2017-En-30331	Catering channel's at the height technics hearty enjoyment symptomatize: vrlfEyrN	valence	1: slightly positive emotional state can be inferred
2017-En-10512	@thatomahapa the best revenge is to get yourself a good woman and move on. Leave her and her hairline to figure themselves out alone	valence	0: neutral or mixed emotional state can be inferred
2017-En-30789	@iamglenn35 the forth character? No... not gleeful enough...	valence	-1: slightly negative emotional state can be inferred
2017-En-21121	My view of the human being is as a dynamic expression of the Cosmos we exist within #humanism #awe	valence	0: neutral or mixed emotional state can be inferred
2017-En-31460	@homoaesthetics YESYESYES like jd is the closest cahracter that is similar to blaine!! the optimism and ability to crack tough characters	valence	1: slightly positive emotional state can be inferred
2017-En-40579	@TheRandomAnt @meg_m203 yeah, they figured that ornaments are way more wanted than spektar and desolate gear. Well they thought right.	valence	0: neutral or mixed emotional state can be inferred
2017-En-30558	Hey NASCAR fans. Are you going to the race in Loudon this weekend?  Why not stop by New Day Diner for a great hearty breakfast before you go	valence	1: slightly positive emotional state can be inferred
2017-En-31379	Love your new show @driverminnie 	valence	1: slightly positive emotional state can be inferred
