Tweet index	Label	Tweet text
1	1	Sweet United Nations video. Just in time for Christmas. #imagine #NoReligion  http://t.co/fej2v3OUBR
2	1	@mrdahl87 We are rumored to have talked to Erv's agent... and the Angels asked about Ed Escobar... that's hardly nothing    ;)
3	1	Hey there! Nice to see you Minnesota/ND Winter Weather 
4	0	3 episodes left I'm dying over here
5	1	"I can't breathe!" was chosen as the most notable quote of the year in an annual list released by a Yale University librarian 
6	0	You're never too old for Footie Pajamas. http://t.co/ElzGqsX2yQ
7	1	Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree.. 
8	0	4:30 an opening my first beer now gonna be a long night/day
9	0	@Adam_Klug do you think you would support a guy who knocked out your daughter? Rice doesn't deserve support.
10	0	@samcguigan544 You are not allowed to open that until Christmas day!
11	1	Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas. 
12	0	But instead, I'm scrolling through Facebook, Instagram, and Twitter for hours on end, accomplishing nothing. 
13	0	@TargetZonePT :pouting_face: no he bloody isn't I was upstairs getting changed !
14	0	Cold or warmth both suffuse one's cheeks with pink (colour/tone) ... Do you understand the underlying difference & its texture?
15	1	Just great when you're mobile bill arrives by text 
16	1	crushes are great until you realize they'll never be interested in you.| :p
17	1	Buffalo sports media is smarter than all of us. Where else can you get the quality insight offered by Harrington and Busgaglia. 
18	0	I guess my cat also lost 3 pounds when she went to the vet after I've been feeding her a few times a day.||#Eating|#food| |#WorkingOut
19	1	@YankeesWFAN @Ken_Rosenthal trading a SP for a defense-only SS? Brilliant trade. 
20	1	But @DarklightDave was trying to find us, and my battery died. Guess how he found us? Yes, that bastard wand! !!!!!
21	1	@deputymartinski please do..i need the second hand embarrassment so desperatly on my phone 
22	0	I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. @AZEALIABANKS tho....this girl got IT.
23	1	@yWTorres9 time to hit the books then 
24	0	@RushOrderTees THX4FLW! FLWtheMUSIC @ElektrikEventz @ElektrikMetro WE R #ElektrikBLOOM #ElektrikFANTASY #iwant2DRIFT #Elev8TheUnderground!
25	1	Love these cold winter mornings :grimacing_face: best feeling everrrrrrr !
26	0	Amazingly http://t.co/NEioZuNbLD is not owned by #BHP. They are going to have to shell out some decent money for it. #BHPBilliton #South32
27	0	Wish she could have told me herself. @NicoleScherzy #nicolescherzinger #OneLove #myfav #MyQueen :heavy_black_heart:️:heavy_black_heart:️ http://t.co/queL09fqyr
28	0	The rain has made extra extra lazy:smiling_face_with_open_mouth_and_cold_sweat:
29	0	I was doing great with this summary of my year until I got to June 27th, and the weekend of @Hartswormx3 's birthday. #rivertrip #groupchat
30	0	see, that MIGHT show up on a background check, and you'd be denied its a catch 22 we have the right to self protection @serpentina66
31	1	Smh never knew something could be 80% halal....Been muslim my whole life but somehow i've learned something new i guess 
32	1	A wonderful day of starting work at 6am 
33	0	i feel like whole life is about waiting waiting and waiting
34	0	@Pure_playa85 lol :grinning_face_with_smiling_eyes:.. Will let my kids know when they get up in the morning.. Thanks for the tip
35	1	@RedSox you guys sure screwed this up royally. I'm happy for Lester, the brain trust over there sucks. #nicejob  #LesterToChicago
36	0	#Aussie #gunman #was  #on terrorist #watch #list, PM #says: SYDNEY – The gunman who took 17 hostages in Sydney... http://t.co/ibnxdPtu3W
37	1	"Twig" is now "Sprig"—3 sec limit on new social video platform  #techtalk #editorspick #sillyvine #Tr... https://t.co/0DMkcXpYzq
38	0	@HEELTeacher and what will that achieve? Seriously?To be fired.all the guys who had the balls to call them out are gone..
39	1	Yay for another work at 4am day :neutral_face: 
40	1	Physical therapy at 8 am is just what I want to be doing with my Friday  #iwanttosleep
41	1	Omg @FloptimusCrime didn't tell @giantfootyguy he was in town :face_screaming_in_fear: #trueFriend 
42	1	I THOUGHT WHAT WE HAD WAS REAL, HOW COULD YOU BE FINE? COZ I'M NOT FINE AT ALL Oh wait. Fixed the caps lock ^.^  #LaughNow .o.
43	1	HaHaHaHa!! #hypocrisy  "MT @Independent: Katie Hopkins calls Russell Brand a bully..........: http://t.co/DZ05xHiuwl"
44	1	That moment when you have so much stuff to do but you open @tumblr ... #productivity  #tumblr
45	0	Lol! I m enjoying it:two_women_holding_hands: #Talks #Crazyness #SheNeverLeft  sleepy!! :white_smiling_face:
46	1	Luv this 
47	1	: When some naturopaths sell "aromatic" herbs the way apothecaries sell noxious poisons. #Naturopath=#Apothecary #Herb=#Poison
48	0	"@dixiessixty: Goal of the Season 1970: GOAL 1. Jon Sammels #ARSENAL vs #manutd https://t.co/W1p9bptdT3" @Lloydgallagher3 @bigtant1986
49	0	really, what else can a fish be besides a fish? @RBRNetwork1 @TheOldBreed1775 @IndyEnigma @diverdown48
50	0	@malesurvivor72 I think it's a safe bet it won't fit the crime.
51	1	It will be impossible for me to be late if I start to dress up right now. #studing #university #lazy 
52	1	When you're already running late and then your car won't start <<< #FantasticFriday 
53	1	i decided to become my own boss to have more free time.. now i have no time left whatsoever. 
54	0	loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection
55	0	American Kids starting playing and now I'm super missing #summer2k14 #kennychesney
56	0	@corporateknight don't know how#Monsanto # among 100 most sustainable Cos in the world sure all parameters are measured#net positive?
57	0	None of the big, disruptive innovations in our lives have come out of brainstorming. -Bruce Nussbaum http://t.co/ituc6zpusB
58	0	that way people get to understand disabilities and not stare at us funny wen we out and about#IDPwD#disability
59	1	@TheoCorleone @david_maclellan Shit! I better shut my stupid girly mouth because im so concerned about what men might think of me. 
60	0	Why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth?
61	0	Tell me the #Quintessential #Aussie now isn't a Govt paid job & then have the hyde to buy overseas online and pay no GST . mmm #SadButTrue
62	0	@Parlett316 "Dirk's got a lot of moves I'm trying to steal." - Kevin Durant on his one-legged fadeway
63	1	About once a yr I get a little nutty and reach for the orange marmalade. #livingontheedge  http://t.co/sF9o6OWE1v
64	1	Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!   http://t.co/vFP1ehx7yL
65	1	Whatever happened to the Guano Apes? Did they ever make it "Big in Japan"? 
66	0	Bmw i8 sexy az hell but too slow for the dinero 12.4 in the quarter mile slow #fan of the design feeling the... http://t.co/DELfxN0BpI
67	0	Let your humility guard your pride ... Vanity shouldn't be allowed to be with such a delicate thing.
68	0	Whenever I get sad about how things are going now, I just think of how awesome the future looks to be. #secondsemester #drumcorps #college
69	1	I asked God to protect me from my enemies .. shortly after I started losing friends :flushed_face::hundred_points_symbol:  or #naah
70	1	Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm  its for a customer I hope!!! http://t.co/KDx0FhVqCW
71	1	Such .   You still have to #praisehim ;)
72	0	Hey heyy!!!I....wanna be a rockstar #vscocam  hero #vsocam #hero #spiderman http://t.co/9tuskhVYbJ
73	1	"@MaggieLindemann: . @xSamSecrets123 awk moment when I tweeted first #fakefan !!!!!" 
74	0	Waa mockingjay part 2 tahon depan meh 20 Nov 2015 wtvr Night at the museum 3 #mustwatchb4decemberendssobssobs http://t.co/rAc6XdS56z
75	1	@AmbControl999 @HouseofCommons @Ed_Miliband @nick_clegg @David_Cameron  nice to see the ambulance service is so important to OUR mps 
76	1	I love finals week! #justkidding  #stressed
77	0	@gracewoods_ fucking copycat, although you're name is mint and the act we share it is probably a cause for alcohol filled celebration!!!
78	0	Literally cried when I woke up because I know what this day has in store for me #TheStartOfTechWeek  Ready #JustShootMeKnow
79	0	@RashawnFranklin Because I disagree w/ you? Trading three picks for one when you have glaring holes at numerous positions is ass-backwards.
80	1	.@nypost .@Cameron_Gray Oh that makes it all better!!! 
81	0	Why didn't I start watching the tudors earlier? #iloveit
82	0	@guntrust http://t.co/8ICPDcAoNQ #CHRISTMAS #GIFT GET STARTED AT MAKING MONEY IN SOCIAL MEDIA @ https://t.co/cpJZkEgNe7
83	0	don't knw how to react everytime sum1 says me being in a wheelchair "inspires" them! im just living they same you are dude
84	0	GET AHT A TAHN!|The Made in PGH Gift Guide https://t.co/ziTWyuzN6a via @getfitpgh
85	0	On my lunch break so sleepy:sleeping_face:
86	1	#Work#Trains#TheGrind#London#Business#MyHappyFace http://t.co/fdE2iQpuQz
87	1	dude said I better think hard , so he can take me to cheddars lmao ! 
88	0	My #Christmas ritual...part one. #HowTheGrinchStoleChristmas http://t.co/yIJ6tiHmsM
89	0	Overcast at Creso. #todayimloving #beachwalk #crescenthead http://t.co/daEk2DAjBg
90	0	2014 can't end fast enough! Stupid dead battery.
91	1	Not even 8am and I can already see this is going to be a wonderful day  #needmorecoffee
92	1	I have an idea, how about 911 operators don't ever describe race?||And police have to wear color blind glasses?||
93	1	@bustedcoverage  but Russell is a good christian fella, he wouldn't do that. 
94	0	Apparently my youth group thinks "Are you kidding me?" is my default expression--or "nomal face." #areyoukiddingme http://t.co/dBARs2XXTa
95	1	@jaymohr37  #PSA Hey Jay, I tuned in when u said "why all the cocaine talk today....after tweeting coke joke saw it's Escobar's 65th 
96	0	Interviewed a turkey & here's what he had to say http://t.co/8fTsTAoTa1 #Thanksgiving
97	1	Planned on an early night last night.. Oh yaa course that happened..  #gotinterupted
98	1	@MaggieWinter21 your last retweet though 
99	1	2v4 S&D matches are just so fun... 
100	1	i just loveee bein short and having my sweatpants go all the way under my feet its so fun... :pile_of_poo:
101	1	I love waking up at 8 am on a Saturday morning after going to bed at midnight 
102	1	A day where  ruled @twitter, I got followed by @Sarcasmia. Wht a  day!! Lollllll.
103	0	Jusuf Nurkic #Bulls RT @JonathanTjarks: He clearly has a lot of talent. Kind of amazing that Denver got him and Gary Harris for McDermott.
104	0	I don't even have progress on my thesis tas preparations for our event this thursday :weary_face:
105	1	Gym and I are gonna have a reeeaaalll nice date tomorrow.  #imgoingtostruggle #VSFS2014
106	0	Sony pulled a movie bc we're scared of a country that can't even keep its lights on at night? Even motel 6 can do better than that. #Zing
107	0	Had a nice 3 hour nap. Picking up my Chinese take-out and set to watch #GuardiansOfTheGalaxy @MyzzCryz I added water chestnuts to my dinner
108	0	@jepischke @djdurkin The Bears are probably the worst franchise in football at the moment.
109	1	I'm so pissed off at Chicago. Like the people at the airport ruined so many peoples chances of ever meeting the boys :expressionless_face::expressionless_face::expressionless_face:. Way to go 
110	0	Hell has frozen over. Literally. #Texas2015.
111	1	Can you write your name on a paper and take a picture ... — I can but I'm busy answering this question oh...  http://t.co/hRysVyLpBI
112	0	Its a marshmallow world in the winter :multiple_musical_notes: #getthisoutofmyhead
113	1	Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun 
114	1	Reading about Barack Obama in the Barack #Obama plaza #moneygall oh the  http://t.co/sQCIETUrpR
115	0	that is the face of a tired man hahahahah
116	1	We want turkey!! 
117	0	@winelibrarian happy to be of some small service ;) @Case4Cleveland @brad4word
118	0	Choose your words carefully hurting someone feelings is not the right way to go.
119	1	What a joke. Thanks for the detailed response and communication with your customers.  @AskPlayStation @PlayStation
120	0	@MohammadFarooq_ Asalamoalekum... :smiling_face_with_open_mouth: kesay mizaj ? Thank you so much. It was posted on 2nd December 2013. Already there. :smiling_face_with_halo:
121	0	Feeling artsy tonight. #artsy#homealone#vienna#studentlife @ b&e's apartment http://t.co/Ct85mmtf5H
122	0	showed mom this picture of me and @sopitlikeitshot & says "this is grunge" and she goes "haha!! I love it!" #momgoals http://t.co/LTe1NGODMk
123	0	@TharaAzzam explains why Inter went all Calciopoli over Juventus...
124	0	I pray God comes back in America and saves us all.
125	0	#Libby #Lane #appointment: #Women #bishops #debate  #over: The appointment of the Reverend Libby Lane as the... http://t.co/YOj9HVUa8n
126	0	Sad that when someone drinks they treat you like shit and won't talk to you.
127	0	We provide a structure that ensures you will successfully invest in real estate. http://t.co/vSLRBIOhyr @backofficeguru
128	0	@FoxNews Ask a liberal and he will tell you Obama got us out of Iraq and won the Afghan war...and no one ever died under his watch.
129	1	Why am I sick? *looks at other tweets* oh yeah sex...  #lame
130	1	working a double on 2 hours of sleep here we go let's get it 
131	1	For those of you that LOVE this time of year.  https://t.co/r6utbrXVrU
132	1	In other news i havent had a good nights sleep in a week. I feel great. 
133	0	The pure #reality of . http://t.co/wokWEvDvrp
134	0	#DIY. Change your #MobileCover every day now. Enjoy! http://t.co/FbDDXMien9
135	1	Happy 2nd anniversary to me in SGV. Happy OT here in client. Woohoo. I loooooove my job. Super. More years to go!!!!!!!!! 
136	0	@Vh1Supersonic Cause of all the things in life this seems to be in #Balance. |Music- Medicine, @Vh1Supersonic - Doctor|#SuperDayLineUp
137	0	@HarrietBaldwin @OkieVision I guess that means MSM will dig something up to smear Barkley now.#Ferguson
138	0	Jimi Agbaje is a fine man...in respect to public service what notable landmark has he achieved?  Tested|Jimi... http://t.co/MCNlrZffAO
139	1	@letote good thing we had enough #whitewine and #christmastrees to survive if needed. #chardsohard #fashion  ;)
140	0	@DFDSUKUpdates why all the delays?  happy
141	1	The fun part about 4 am drives in the winter, is no one has cleaned the snow yet 
142	0	I miss the days when all my close friends lived in the same city.
