Tweet index	Label	Tweet text
1	1	Sweet United Nations video. Just in time for Christmas. #imagine #NoReligion #irony http://t.co/fej2v3OUBR
2	1	@mrdahl87 We are rumored to have talked to Erv's agent... and the Angels asked about Ed Escobar... that's hardly nothing #Sarcasm   ;)
3	1	Hey there! Nice to see you Minnesota/ND Winter Weather #Not
4	0	3 episodes left I'm dying over here
5	1	"I can't breathe!" was chosen as the most notable quote of the year in an annual list released by a Yale University librarian #irony
6	0	You're never too old for Footie Pajamas. http://t.co/ElzGqsX2yQ
7	1	Nothing makes me happier then getting on the highway and seeing break lights light up like a Christmas tree.. #not
8	0	4:30 an opening my first beer now gonna be a long night/day
9	0	@Adam_Klug do you think you would support a guy who knocked out your daughter? Rice doesn't deserve support.
10	0	@samcguigan544 You are not allowed to open that until Christmas day!
11	1	Oh, thank GOD - our entire office email system is down... the day of a big event. Santa, you know JUST what to get me for xmas. #sarcasm
12	0	But instead, I'm scrolling through Facebook, Instagram, and Twitter for hours on end, accomplishing nothing. #irony
13	0	@TargetZonePT 😡 no he bloody isn't I was upstairs getting changed !
14	0	Cold or warmth both suffuse one's cheeks with pink (colour/tone) ... Do you understand the underlying difference & its texture?
15	1	Just great when you're mobile bill arrives by text #Not
16	1	crushes are great until you realize they'll never be interested in you.|#sarcasm :p
17	1	Buffalo sports media is smarter than all of us. Where else can you get the quality insight offered by Harrington and Busgaglia. #sarcasm
18	0	I guess my cat also lost 3 pounds when she went to the vet after I've been feeding her a few times a day.||#Eating|#food|#Not |#WorkingOut
19	1	@YankeesWFAN @Ken_Rosenthal trading a SP for a defense-only SS? Brilliant trade. #sarcasm
20	1	But @DarklightDave was trying to find us, and my battery died. Guess how he found us? Yes, that bastard wand! #irony!!!!!
21	1	@deputymartinski please do..i need the second hand embarrassment so desperatly on my phone #sarcasm
22	0	I never cared for Beyonce, bc I could never get a sense of who she was. Her interviews lacked depth. @AZEALIABANKS tho....this girl got IT.
23	1	@yWTorres9 time to hit the books then #irony
24	0	@RushOrderTees THX4FLW! FLWtheMUSIC @ElektrikEventz @ElektrikMetro WE R #ElektrikBLOOM #ElektrikFANTASY #iwant2DRIFT #Elev8TheUnderground!
25	1	Love these cold winter mornings 😬 best feeling everrrrrrr #Not!
26	0	Amazingly http://t.co/NEioZuNbLD is not owned by #BHP. They are going to have to shell out some decent money for it. #BHPBilliton #South32
27	0	Wish she could have told me herself. @NicoleScherzy #nicolescherzinger #OneLove #myfav #MyQueen ❤️❤️ http://t.co/queL09fqyr
28	0	The rain has made extra extra lazy😅
29	0	I was doing great with this summary of my year until I got to June 27th, and the weekend of @Hartswormx3 's birthday. #rivertrip #groupchat
30	0	see, that MIGHT show up on a background check, and you'd be denied its a catch 22 we have the right to self protection @serpentina66
31	1	Smh never knew something could be 80% halal....Been muslim my whole life but somehow i've learned something new i guess #Not
32	1	A wonderful day of starting work at 6am #Sarcasm
33	0	i feel like whole life is about waiting waiting and waiting
34	0	@Pure_playa85 lol 😁.. Will let my kids know when they get up in the morning.. Thanks for the tip
35	1	@RedSox you guys sure screwed this up royally. I'm happy for Lester, the brain trust over there sucks. #nicejob #not #LesterToChicago
36	0	#Aussie #gunman #was #not #on terrorist #watch #list, PM #says: SYDNEY – The gunman who took 17 hostages in Sydney... http://t.co/ibnxdPtu3W
